	day30_rep1_tbx5_ge	day30_rep2_tbx5_ge	day30_rep1_tbx5	day30_rep2_tbx5	day30_rep1_tbx5_oe	day30_rep2_tbx5_oe
KRTAP27-1	0	1	0	0	0	0
KRTAP23-1	0	1	0	0	0	0
KRTAP13-2	1	0	0	0	0	0
MIR4327	0	1	0	0	0	0
LOC105372772	0	0	1	0	1	0
KRTAP13-1	0	1	0	0	0	0
KRTAP13-3	1	0	0	0	0	0
KRTAP13-4	1	1	0	0	0	0
KRTAP15-1	0	0	0	0	0	0
KRTAP19-1	0	0	0	1	0	0
KRTAP19-2	0	0	0	0	0	0
KRTAP19-3	0	0	0	0	0	0
KRTAP19-4	1	0	0	0	0	0
KRTAP19-5	2	0	0	0	1	0
KRTAP19-6	0	0	0	0	0	0
KRTAP19-7	1	0	0	0	0	0
KRTAP22-2	0	0	0	0	0	0
KRTAP6-3	0	0	0	0	0	0
KRTAP6-2	0	1	0	1	0	0
KRTAP22-1	0	0	0	0	0	0
KRTAP6-1	1	0	1	0	0	0
KRTAP20-1	0	0	0	0	0	0
KRTAP20-4	0	0	0	0	0	0
KRTAP20-2	0	0	0	0	0	0
KRTAP20-3	0	0	0	0	0	0
LOC105372773	0	2	2	0	0	0
KRTAP21-3	0	0	0	0	0	0
KRTAP21-2	0	0	0	0	0	0
KRTAP21-1	0	0	0	0	0	0
KRTAP8-1	0	2	0	0	0	0
KRTAP7-1	0	0	0	0	0	2
KRTAP11-1	0	0	0	0	0	0
LOC105372776	0	0	1	0	0	0
LOC105372775	1	2	0	0	0	0
LOC105372774	0	0	0	0	0	0
KRTAP19-8	0	0	0	0	0	0
TIAM1	226	153	259	226	238	314
LOC105372777	0	0	0	0	0	1
TIAM1-AS1	11	7	14	20	24	19
LOC107985488	0	0	0	0	1	0
SOD1	2805	5972	3109	4773	4979	4243
LOC124900469	3	8	3	8	2	4
SCAF4	1192	3237	1117	1028	1176	1503
LOC124905008	4	5	12	27	12	6
HUNK	1992	865	2997	1806	1043	1491
LINC00159	0	0	1	1	0	1
MIS18A	335	458	278	327	417	348
MIS18A-AS1	4	11	8	10	14	9
MRAP	2	1	2	0	0	0
LOC124905009	0	1	1	1	1	2
MRAP-AS1	11	13	12	5	6	7
URB1	1467	3169	1942	1707	1252	1993
SNORA80A	0	0	0	0	0	1
URB1-AS1	99	198	45	42	44	60
EVA1C	6	11	10	46	31	45
CFAP298-TCP10L	3	7	12	13	17	11
TCP10L	1	2	0	4	2	3
CFAP298	187	440	121	213	200	199
SYNJ1	423	789	600	533	780	712
LOC124905011	0	0	6	3	1	2
PAXBP1-AS1	25	15	28	43	70	56
PAXBP1	716	1279	831	695	1306	1167
LOC124905010	282	658	447	349	625	578
C21orf62-AS1	4	7	14	32	33	41
C21orf62	1	6	84	11	38	50
LOC124900470	0	0	0	0	1	0
LOC124905012	0	0	0	0	0	0
LOC105377136	0	4	0	2	2	1
LINC01690	0	0	0	0	2	0
OLIG2	2	2	0	1	128	3
LINC00945	0	0	0	0	0	0
OLIG1	1	1	0	0	91	2
LOC101928107	1	9	0	0	1	1
LINC01548	0	4	0	0	4	0
LOC105372787	0	0	0	0	2	0
IFNAR2-IL10RB	0	0	0	0	0	0
IFNAR2	741	152	408	443	196	304
IL10RB-DT	24	5	11	20	5	12
IL10RB	13	14	11	11	7	11
IFNAR1	1807	1676	2088	1393	1414	2159
IFNGR2	1207	482	1000	1228	606	736
TMEM50B	629	1949	966	1369	989	1079
DNAJC28	39	34	82	68	94	103
GART	1773	3071	1891	1881	2304	2146
SON	8110	29322	10356	8805	13057	15281
MIR6501	0	0	0	0	0	0
DONSON	793	876	669	778	1157	1142
CRYZL1	669	648	570	749	815	777
ITSN1	5128	2235	5306	3372	3847	3952
ATP5PO	3486	5030	4939	8263	9015	7017
LINC00649	58	35	44	53	35	53
LOC124905013	2	0	5	6	0	1
LOC101928126	19	7	26	17	10	24
LOC105372790	1	8	2	6	1	5
LOC105372789	2	1	1	0	3	1
MRPS6	854	1215	1109	1849	1939	1679
SLC5A3	1299	685	2290	1130	563	1212
LINC00310	2	4	3	1	8	3
KCNE2	0	2	1	1	2	0
LOC105372791	0	0	0	0	0	0
SMIM11	0	1	0	1	0	0
C21orf140	0	0	0	0	0	0
LOC105372793	0	0	0	0	0	0
SMIM34	0	0	0	0	0	0
KCNE1	12	4	2	21	67	60
LOC124900475	0	0	0	0	0	0
RCAN1	2978	8704	2273	3651	2439	5958
CLIC6	256	364	41	15	8	237
LINC00160	0	0	0	0	0	0
LOC107985515	0	0	0	0	0	0
LINC01426	3	9	10	8	3	3
RUNX1	1094	479	680	418	115	1567
LOC124905014	7	14	10	7	0	22
LOC112267915	19	52	22	10	3	51
RUNX1-IT1	1	2	0	0	0	0
LOC124905015	1	0	1	0	0	0
LOC100506403	0	0	0	0	0	0
MIR802	0	0	0	0	0	0
PPP1R2P2	0	1	1	0	0	1
LOC101928269	2	2	1	0	0	1
LINC01436	0	0	0	0	0	0
SETD4	432	595	455	513	670	720
CBR1-AS1	2	1	0	4	3	0
CBR1	64	83	98	150	271	257
LOC105369306	0	3	0	0	1	2
CBR3-AS1	31	66	7	11	2	13
CBR3	26	9	5	25	13	4
DOP1B	604	472	480	413	398	402
LOC124905016	2	2	0	1	0	0
LOC124905072	1	2	0	0	0	0
MORC3	797	1774	802	549	1684	1681
CHAF1B	292	118	136	306	370	282
CLDN14-AS1	97	16	14	28	4	19
CLDN14	6	1	2	1	0	2
LOC105369308	2	3	1	1	4	3
SIM2	29	37	0	5	10	1
LOC107985492	5	10	2	0	1	1
HLCS	661	552	991	983	659	856
LOC105369305	16	15	8	11	5	8
HLCS-AS1	27	65	28	70	39	59
RIPPLY3	5	9	2	4	5	18
LOC124905017	0	8	3	6	4	2
PIGP	190	219	291	483	507	458
TTC3	6023	3782	14796	10064	6114	10224
TTC3-AS1	2	3	1	2	1	0
DSCR9	10	5	14	6	6	6
VPS26C	1352	3637	1354	1754	1531	1704
LOC124905018	0	0	1	4	1	0
LOC124905019	0	0	0	0	0	0
DYRK1A	2076	4978	2754	3546	2728	2977
LOC105372797	6	6	8	8	1	3
KCNJ6-AS1	1	1	0	2	2	1
LOC105372798	18	12	18	12	23	15
KCNJ6	18	44	4	8	21	5
LOC101928368	0	1	4	2	1	2
DSCR4	0	1	0	0	0	0
DSCR8	0	1	0	0	1	0
LOC124905020	0	1	0	0	0	0
LOC124905070	0	0	0	0	0	0
DSCR10	0	0	0	0	0	0
KCNJ15	6	3	20	1	0	6
LOC105372801	0	0	0	0	0	0
LINC01423	0	0	0	0	0	0
LOC107985513	5	0	0	1	0	0
ERG	82	19	622	533	7	263
LOC105372802	0	0	0	0	0	0
LINC00114	5	0	1	1	0	0
LOC107985480	44	0	4	21	4	5
ETS2	4557	2588	2492	2024	1885	2902
LOC101928398	1	0	0	0	0	0
ETS2-AS1	1	1	2	0	1	0
LINC01700	0	0	0	0	0	0
LINC02940	13	64	67	35	25	21
LINC02943	3	0	11	5	5	2
PSMG1	1005	1206	748	846	806	897
BRWD1	1227	2371	1925	1548	3834	4006
BRWD1-AS2	18	54	51	43	18	30
BRWD1-AS1	2	4	1	7	8	3
HMGN1	8182	6976	7524	6847	9628	7947
LOC124905074	28	24	46	50	89	53
LOC105372804	0	0	0	0	1	0
GET1-SH3BGR	0	0	0	0	0	0
GET1	249	258	325	449	615	555
LCA5L	39	31	66	36	61	68
SH3BGR	3	7	23	35	222	167
MIR6508	0	0	0	0	0	0
B3GALT5-AS1	84	25	85	40	59	45
B3GALT5	260	81	166	111	104	139
LOC107985499	1	0	0	1	0	0
IGSF5	37	13	74	74	97	96
LOC107985500	0	0	1	2	2	2
PCP4	30	6	93	21	58	409
DSCAM	9	12	3	1	80	7
MIR4760	0	0	0	0	0	0
DSCAM-AS1	0	0	0	0	1	1
LOC105369294	0	0	0	0	0	0
LOC124900473	0	0	0	0	1	0
DSCAM-IT1	0	3	0	0	0	0
LINC00323	0	0	0	0	5	4
MIR3197	0	1	4	1	0	4
BACE2	254	221	1204	1064	301	742
PLAC4	2	2	5	5	3	3
FAM3B	36	9	4	5	1	5
MX2	5	2	0	1	7	5
MX1	23	74	34	27	36	105
TMPRSS2	153	52	76	18	1	6
LOC124905021	1	0	0	0	0	1
LOC124900472	0	0	0	0	0	0
LOC105372809	0	0	0	0	0	0
PCSEAT	0	0	0	0	0	0
LOC105372812	0	0	1	2	0	0
LOC107985478	1	0	0	0	0	0
LOC105372813	0	0	0	1	0	0
LINC00111	0	0	1	0	0	0
LINC00479	39	10	35	3	0	5
LINC00112	0	0	0	0	1	0
RIPK4	397	813	360	345	147	181
MIR6814	0	0	0	0	1	0
LOC102724800	1	1	2	2	1	1
PRDM15	349	669	394	315	283	382
C2CD2	500	972	627	820	283	554
SNORA91	0	0	0	0	0	0
ZBTB21	493	4471	541	278	742	865
ZNF295-AS1	0	6	0	0	0	2
LOC107985502	1	1	0	0	0	1
UMODL1	6	4	0	1	0	0
UMODL1-AS1	0	0	1	0	0	0
ABCG1	76	159	297	198	295	517
LOC105372814	1	0	0	0	1	1
TFF3	236	40	19	1	0	6
TFF2	31	7	2	0	0	0
LOC105372815	1	0	0	0	0	0
TFF1	5	0	0	0	0	0
TMPRSS3	0	1	0	0	0	0
UBASH3A	6	5	0	0	0	0
RSPH1	6	11	8	3	8	14
RSPH1-DT	1	0	0	0	1	0
SLC37A1	254	213	136	129	120	82
LOC107987299	2	16	4	0	6	1
LOC101928212	2	1	2	3	2	1
LINC01671	0	0	2	0	0	0
LOC101928255	20	4	20	31	21	7
PDE9A	307	154	340	475	367	212
PDE9A-AS1	0	0	2	0	1	0
LOC107985504	2	0	2	2	1	1
LINC01668	4	0	2	1	4	0
WDR4	740	551	404	401	245	287
LOC105372817	31	46	23	62	38	36
NDUFV3	1429	2079	1918	2520	2311	2468
ERVH48-1	764	118	238	69	15	65
LOC124905022	28	14	23	32	27	22
LOC124905023	8	13	3	5	4	4
MIR5692B	0	0	0	0	0	0
LOC124905024	1	0	0	1	3	3
PKNOX1	940	584	874	837	863	1033
CBS	405	115	568	578	100	189
U2AF1	39	74	31	42	11	18
LOC101928369	6	10	13	16	1	8
FRGCA	1	0	2	0	0	0
LOC107987300	0	0	0	0	0	0
CRYAA	0	0	0	0	0	0
LOC105372821	0	0	0	0	0	0
LOC124905025	1	0	0	0	3	1
LOC124905026	0	0	0	0	0	0
LINC00322	2	1	5	3	1	1
LOC124905027	2	1	10	8	12	5
LINC01679	1	0	1	0	2	1
LNCSIK1	1	0	0	0	0	0
LOC124905028	0	0	0	0	0	0
SIK1	191	92	75	66	2	9
LOC124905029	2	1	8	2	0	4
HSF2BP	90	84	111	74	30	66
LINC00319	0	0	0	0	0	0
LOC124900467	0	0	0	0	0	0
LINC00313	0	0	0	0	0	0
LOC102723380	1	0	0	2	0	0
H2BC12L	1	4	2	2	1	2
MIR6070	0	0	1	0	0	0
RRP1B	2320	3196	1634	1412	1388	1659
LOC124905030	2	0	5	33	13	12
LOC124905031	0	7	2	0	2	1
LOC124905032	1	1	2	0	4	0
PDXK	5777	9036	7376	7797	1944	4304
LOC105372824	15	52	14	27	18	14
CSTB	1684	2427	1142	2134	993	1065
LOC105372825	0	0	0	0	0	0
RRP1	1414	1621	983	1151	650	1122
AATBC	12	28	35	29	37	40
LOC124905033	7	17	25	25	25	15
AGPAT3	2479	2117	2126	3298	1151	2034
LOC124905034	2	2	2	5	1	0
LOC105372826	1	0	0	0	0	0
LOC105372829	0	0	0	0	0	0
TRAPPC10	1151	1631	977	963	923	1207
PWP2	20	13	13	14	5	8
GATD3	19	9	12	37	16	11
LINC01678	0	2	4	12	0	0
LOC124905035	1	1	5	4	4	2
LOC105377139	0	1	0	1	0	0
LOC105372832	0	0	0	2	0	2
LOC102725065	0	0	0	0	1	0
ICOSLG	31	63	37	17	1	6
DNMT3L	0	2	0	0	0	0
DNMT3L-AS1	0	0	0	0	0	0
AIRE	5	4	3	1	1	0
PFKL	4850	2747	8168	9510	2549	3812
CFAP410	832	584	1363	2020	802	1002
TRPM2	17	5	4	22	0	0
TRPM2-AS	0	0	0	0	0	0
LOC124905069	0	0	0	0	0	0
LOC124905068	0	0	0	0	0	0
LRRC3-DT	4	3	7	3	3	1
LRRC3	673	276	750	606	140	395
HEPFAL	37	18	78	84	35	84
LOC124905037	0	0	3	1	0	1
LINC02575	28	20	10	10	22	39
TSPEAR	7	14	25	103	31	63
TSPEAR-AS1	8	10	12	72	50	86
TSPEAR-AS2	6	9	17	38	30	33
LOC124905038	1	1	2	15	9	19
KRTAP10-1	1	0	0	0	0	1
KRTAP10-2	2	1	0	0	1	0
KRTAP10-3	0	0	0	0	0	0
KRTAP10-4	3	0	0	0	0	0
KRTAP10-5	2	2	0	0	0	0
KRTAP10-6	3	2	0	0	0	0
KRTAP10-7	2	0	0	0	0	0
KRTAP10-8	2	1	0	0	0	0
KRTAP10-9	2	1	1	0	0	0
KRTAP10-10	1	0	0	0	0	0
KRTAP10-11	3	4	0	0	0	0
KRTAP12-4	0	0	0	0	0	0
KRTAP12-3	0	0	0	0	0	0
KRTAP12-2	0	1	0	0	0	0
KRTAP12-1	0	0	0	1	0	0
KRTAP10-12	1	0	0	1	0	0
UBE2G2	2986	4233	3372	3762	2908	3137
LINC01424	8	6	8	3	10	5
SUMO3	3622	2643	2375	3872	3050	2770
PTTG1IP	14273	16448	13070	15564	11957	13157
LOC124905039	100	59	152	180	89	136
ITGB2	3	7	1	1	1	9
LOC107987303	0	0	0	0	0	0
ITGB2-AS1	5	5	3	2	0	2
LINC01547	59	46	87	123	88	69
SLX9	815	1106	549	1121	614	697
LINC00163	3	2	16	18	11	30
LINC00165	1	1	0	0	0	3
PICSAR	0	0	2	1	0	1
LOC105372836	9	3	13	32	37	44
SSR4P1	42	9	84	133	145	195
ADARB1	1720	385	2005	2011	1190	2058
LINC00334	10	15	13	17	3	2
LOC124905062	0	0	0	0	0	0
POFUT2	3642	5144	4541	5440	1276	3136
LINC00205	2517	848	2770	2090	936	1779
LOC124905040	4	0	2	0	2	0
LINC00316	2	0	0	1	2	1
LOC105372839	1	0	0	0	0	0
LOC124905041	9	0	2	1	4	1
BNAT1	69	27	94	122	46	36
COL18A1	24257	5986	32855	52558	10808	15128
COL18A1-AS2	7	1	4	9	5	5
COL18A1-AS1	17	3	25	19	14	16
LOC124905042	6	2	16	18	11	14
MIR6815	0	0	0	0	0	0
SLC19A1	577	288	705	854	192	346
LOC107985485	3	2	1	1	3	1
LINC01694	2	5	4	1	1	3
PCBP3	32	76	132	211	82	126
PCBP3-AS1	0	1	2	1	2	4
LOC124905044	1	2	0	0	0	1
LOC101928796	14	5	9	6	0	8
LOC105372841	2	7	4	1	0	1
COL6A1	16137	10732	46205	39258	2139	26947
LOC105372842	1	0	1	0	0	2
COL6A2	17440	8901	35349	32962	1378	21646
LOC124905043	6	4	26	9	4	15
FTCD	32	4	109	113	48	26
FTCD-AS1	0	0	1	2	2	2
SPATC1L	374	268	565	906	423	426
LOC124905045	0	0	5	7	5	3
LSS	5665	2613	5197	6398	2134	2928
SNORD159	64	22	57	54	16	26
MCM3AP-AS1	71	39	92	98	89	97
MCM3AP	2497	4424	2630	3330	2623	3222
YBEY	146	371	316	492	501	475
C21orf58	377	64	401	622	296	285
PCNT	1013	1349	1261	1444	1482	1340
LOC128092249	0	0	0	0	0	0
LOC124905046	68	23	146	152	170	200
DIP2A	1376	1323	1722	2162	1437	1877
DIP2A-IT1	4	1	1	3	1	2
S100B	0	0	1	6	76	106
PRMT2	2929	1640	4009	4964	3965	4305
LOC124905058	50	58	47	60	47	76
LOC124905154	0	0	0	0	0	0
LOC105379418	1	1	0	0	0	0
FRG1FP	6	8	3	6	3	3
LOC107984037	0	0	2	9	2	0
LOC102723769	1	2	2	2	4	1
LOC107987323	0	0	0	4	0	0
LOC105379516	2	1	2	0	1	0
LOC105379428	1	0	0	0	0	0
LOC124905168	0	0	0	0	0	0
OR11H1	0	0	1	0	0	0
LOC112268291	0	0	0	0	1	0
POTEH	2	2	0	0	0	0
POTEH-AS1	0	0	0	0	0	0
PSLNR	0	0	0	0	0	0
DUXAP8	0	0	7	4	0	0
BMS1P22	0	0	0	1	0	0
LOC124905169	0	0	0	0	0	0
CCT8L2	1	2	0	0	0	0
TPTEP1	3	2	15	7	0	3
ANKRD62P1-PARP4P3	0	1	0	0	0	0
LINC01665	0	0	0	0	0	1
XKR3	1	1	0	0	0	0
HSFY1P1	0	0	0	0	0	0
GAB4	1	1	0	0	0	0
CECR7	2	18	5	14	7	0
IL17RA	514	1683	604	622	201	472
TMEM121B	100	75	118	315	208	99
LINC01664	1	5	0	3	10	4
HDHD5	1043	900	1051	1854	945	869
HDHD5-AS1	2	7	8	7	2	3
ADA2	6	6	1	8	423	178
LOC107985573	0	2	0	0	3	0
CECR3	0	3	0	0	0	0
CECR2	432	690	515	855	933	577
SLC25A18	23	55	30	32	52	39
LOC105372850	0	1	0	0	0	0
LOC101929372	1	8	0	2	0	9
ATP6V1E1	2753	5448	2867	3296	3873	3953
BCL2L13	1157	1826	2069	1885	2100	2376
BID	510	1023	784	589	403	516
MIR3198-1	0	0	0	0	0	0
LINC00528	0	1	4	3	0	3
MICAL3	3490	2595	6810	10282	5926	7882
LOC124905075	0	0	0	1	1	0
MIR648	0	0	0	0	0	0
LINC01634	0	2	0	3	6	4
LOC105372853	4	22	4	9	12	9
PEX26	1299	1662	1698	1968	1525	1684
TUBA8	20	104	28	35	33	22
LOC124905076	0	5	1	2	4	1
USP18	32	32	82	122	50	80
FAM230D	2	0	0	0	0	1
LOC105372858	0	0	0	0	0	0
LOC105379518	0	0	0	0	0	0
FAM247D	0	0	0	0	0	1
FAM230J	2	1	0	0	0	0
LOC107987325	0	0	0	0	0	0
FAM230A	0	1	0	0	0	0
GGTLC3	0	3	6	8	1	0
TMEM191B	56	99	94	131	15	7
PI4KAP1	1076	1119	1282	1742	408	354
LOC124905077	20	4	28	37	0	2
LOC124905174	0	0	0	0	0	0
LOC124900482	0	0	0	0	0	0
RIMBP3	18	23	59	65	18	26
FAM246B	0	0	0	0	0	0
FAM230E	0	0	0	0	0	0
FAM247C	0	0	2	6	1	0
GGT3P	2	2	3	7	1	2
POM121L15P	4	2	6	4	2	1
LOC102724728	0	0	0	0	0	0
FAM230F	0	1	0	0	1	1
DGCR6	88	115	182	448	567	401
PRODH	15	2	202	94	65	68
LOC122455341	1	5	0	0	1	0
DGCR5	33	56	62	42	75	37
FAM246C	0	2	14	11	4	2
DGCR2	4247	5479	5389	7185	2675	3824
DGCR11	100	107	63	74	60	56
LOC124905078	11	21	2	6	5	8
ESS2	851	1620	888	1096	776	805
TSSK2	0	0	0	0	0	0
LOC112268297	7	6	13	17	2	11
GSC2	0	1	1	3	1	0
LINC01311	82	73	49	84	41	54
SLC25A1	3670	3238	3214	4997	1468	1669
CLTCL1	182	99	317	346	252	330
LOC112268289	5	1	9	5	4	2
LOC124900485	0	2	0	0	0	0
LOC105372859	11	4	14	9	15	9
HIRA	1504	2036	1597	1963	1967	1794
MRPL40	604	1067	484	755	1068	954
C22orf39	716	639	1003	1794	1848	1691
UFD1	2214	2994	1941	2066	1425	1617
CDC45	396	82	155	342	328	224
CLDN5	2	3	1	10	12	54
LINC00895	0	0	0	0	0	0
LOC124905079	0	0	0	1	1	0
SEPTIN5	5	6	1	20	13	9
SEPT5-GP1BB	42	24	100	437	97	98
GP1BB	0	0	0	0	0	0
LOC105372861	3	7	5	8	3	2
TBX1	359	239	616	1002	6	5
GNB1L	286	345	202	283	173	127
RTL10	1293	539	1245	1193	677	1105
LOC124905080	12	10	14	10	5	7
TXNRD2	126	30	73	43	928	790
LOC124905081	0	0	0	0	4	0
COMT	40	19	97	77	1303	1571
MIR4761	0	0	0	0	2	0
ARVCF	1072	1403	1819	3141	3509	2589
LOC124905082	0	2	0	0	0	1
TANGO2	781	961	776	1162	692	777
MIR185	0	0	2	0	0	0
DGCR8	1421	2526	1445	1733	1609	1641
MIR3618	0	0	0	0	0	0
MIR1306	0	0	0	0	0	0
TRMT2A	712	1006	1021	1649	669	857
MIR6816	0	0	0	0	0	0
RANBP1	4325	1864	2265	2495	2338	1851
SNORA77B	0	0	0	0	0	0
ZDHHC8	1702	1135	2862	3995	848	1306
CCDC188	5	6	45	60	14	7
LINC02891	3	2	5	0	0	0
LOC105372862	0	0	0	0	0	0
LINC00896	1	1	0	1	0	4
LOC124905083	0	0	0	0	0	0
LOC105372863	1	1	0	0	1	0
RTN4R	96	230	66	142	267	101
MIR1286	0	0	0	0	0	0
DGCR6L	974	1292	1777	3021	2428	1763
FAM230G	1	0	0	1	0	0
LOC124905153	1	3	1	0	0	0
ZNF74	742	558	804	1205	742	722
SCARF2	3081	4336	5291	8800	1388	3897
LOC107985588	7	10	14	20	4	13
KLHL22	623	547	1372	2205	1256	1553
LOC124905085	1	6	7	13	2	5
LOC101928824	27	36	64	116	55	71
MED15	3965	4035	3753	4072	2723	3411
LOC124905084	0	1	0	1	1	0
POM121L4P	1	2	0	0	0	0
LOC107985584	7	7	7	3	0	0
TMEM191A	50	99	66	40	28	30
PI4KA	2232	2675	3720	4561	3593	3871
SERPIND1	99	18	18	9	7	7
SNAP29	1155	2412	1473	1870	1915	2132
CRKL	2949	8425	3105	3244	3142	3590
LINC01637	3	0	3	0	1	6
AIFM3	10	9	13	32	10	35
LZTR1	2889	2146	3249	4548	1167	1739
THAP7	513	494	675	1259	653	630
THAP7-AS1	82	69	98	164	89	75
TUBA3FP	48	8	74	77	64	21
P2RX6	34	26	221	164	28	114
SLC7A4	89	20	242	152	24	176
MIR649	1	0	6	1	1	0
P2RX6P	2	2	3	2	0	0
LRRC74B	10	9	12	10	3	10
BCRP2	9	6	89	182	3	11
FAM230B	0	0	0	1	0	0
FAM247A	1	0	1	7	1	1
GGT2P	6	5	21	59	13	5
POM121L8P	3	5	10	15	0	2
FAM230H	0	0	0	0	0	0
LINC01651	0	0	0	0	0	0
FAM246A	0	0	1	0	0	0
RIMBP3B	4	3	13	13	1	1
LOC124900483	0	0	0	0	0	0
LOC124905172	0	0	0	0	0	0
HIC2	2309	3772	1554	1157	955	943
TMEM191C	47	83	60	97	30	32
PI4KAP2	847	952	1010	1431	997	925
LOC124905173	0	0	0	0	0	0
LOC124900484	0	0	0	0	0	0
RIMBP3C	1	0	1	5	2	0
UBE2L3	3780	5183	3587	3888	4288	4182
YDJC	817	2516	1020	1033	427	422
CCDC116	10	19	6	12	12	12
SDF2L1	1490	7165	1439	1370	429	565
LOC107985532	27	333	53	106	61	46
MIR301B	0	2	0	1	0	0
MIR130B	0	3	0	0	1	0
PPIL2	1078	966	1603	1622	1133	1376
YPEL1	42	33	233	503	450	391
MAPK1	3908	6931	3790	4673	6966	7439
PPM1F	1292	1550	1638	2333	927	1666
PPM1F-AS1	61	20	69	65	78	76
TOP3B	895	1270	944	1226	920	850
PRAMENP	1	0	0	0	0	0
LOC102724653	0	0	0	0	0	0
VPREB1	1	0	0	0	0	0
LOC124905087	28	13	73	47	49	40
LOC105372952	80	30	176	172	90	108
BMS1P20	792	870	821	823	585	667
LOC101929255	0	0	0	0	1	0
ZNF280B	141	156	308	242	235	245
ZNF280A	0	0	0	0	0	0
PRAME	1	0	0	0	0	2
LL22NC03-63E9.3	1	0	0	0	0	0
POM121L1P	7	34	29	28	4	2
GGTLC2	26	3	37	65	4	2
LOC112267890	0	0	0	1	0	0
LL22NC03-102D1.18	0	1	0	0	0	0
LOC105372948	1	0	0	0	0	0
MIR650	0	0	0	0	0	0
LOC124905086	0	1	0	0	0	0
LOC102724638	0	2	0	0	0	0
MIR5571	0	0	0	0	0	0
IGLL5	1	0	0	0	0	0
LOC105372947	1	0	0	0	0	0
RSPH14	4	8	16	46	11	32
GNAZ	168	316	339	254	486	212
LOC124905170	0	0	0	1	0	0
RAB36	135	181	223	99	94	167
BCR	1549	2852	2711	2694	2201	2144
FBXW4P1	16	22	17	23	14	33
LOC107985554	1	1	1	1	1	0
LINC02556	0	2	0	2	2	0
CES5AP1	1	2	4	1	5	4
ZDHHC8BP	292	195	407	242	86	44
LINC01659	1	1	2	1	7	1
FAM230I	0	0	0	0	2	0
LINC02557	1	0	0	0	0	0
LOC107985580	0	0	2	12	3	1
LOC124900476	53	3	153	100	11	22
PCAT14	2	0	6	1	0	0
LOC105372957	1	5	0	0	1	2
IGLL1	1	1	1	0	0	1
DRICH1	5	9	4	7	9	5
LOC124905089	1	2	0	0	0	1
GUSBP11	309	503	503	771	339	374
RGL4	194	222	365	704	235	272
LOC124905088	11	39	15	21	7	10
ZNF70	552	1128	682	956	245	344
VPREB3	5	8	1	6	24	5
C22orf15	12	7	37	56	10	25
CHCHD10	283	336	574	5411	1634	1553
LOC107985577	1	3	2	5	4	3
MMP11	493	273	1755	4587	2064	2141
SMARCB1	2940	2177	3008	4457	3912	3469
DERL3	19	269	50	122	59	33
SLC2A11	225	278	790	1129	632	710
MIF-AS1	2	28	17	21	71	58
MIF	0	0	0	0	0	0
LOC100652871	0	0	0	0	0	0
GSTT2B	66	44	35	89	9	22
DDTL	61	46	60	73	44	78
DDT	6	4	5	15	15	15
GSTT2	6	4	5	11	0	1
GSTT4	1	4	0	0	1	1
LOC105372959	3	9	0	2	12	12
CABIN1	1819	1042	3101	4422	2254	3455
SUSD2	152	88	237	398	54	87
LOC124905090	0	0	2	8	0	2
GGT5	263	49	395	489	13	58
POM121L9P	16	21	39	50	10	21
SPECC1L-ADORA2A	0	1	2	0	0	1
SPECC1L	1241	1088	1316	1708	1216	1412
LOC105372960	2	1	4	8	8	8
ADORA2A	8	3	7	19	1	4
ADORA2A-AS1	15	28	48	83	17	27
UPB1	8	11	41	94	8	15
GUCD1	2519	2783	3009	4621	1993	2859
SNRPD3	3171	4748	3552	3612	4116	3817
LOC124905091	43	55	89	144	85	82
GGT1	374	432	1012	924	133	326
LRRC75B	395	248	530	1266	279	318
BCRP3	43	22	89	60	16	29
POM121L10P	17	11	26	15	4	6
LOC124905092	1	1	0	1	0	0
LOC105372962	0	0	0	3	0	0
PIWIL3	3	4	4	2	1	0
TOP1P2	0	1	0	0	0	0
SGSM1	16	32	61	191	30	147
LOC124900481	0	0	0	0	0	0
LHFPL7	1	1	0	0	1	1
KIAA1671	1489	3698	1793	1935	1958	1930
KIAA1671-AS1	0	6	1	1	2	4
CRYBB3	7	7	7	4	13	12
CRYBB2	4	18	5	2	6	6
LOC105372969	0	3	1	2	0	1
IGLL3P	0	2	0	0	0	0
LRP5L	204	354	257	401	188	298
LOC124905095	1	7	2	1	2	2
LOC124905093	2	1	2	1	0	0
CRYBB2P1	546	580	466	459	281	376
MIR6817	0	0	0	0	0	0
LOC124905094	96	55	167	134	94	115
GRK3-AS1	0	0	1	1	0	1
GRK3	407	223	417	508	638	519
MYO18B	660	528	4498	10644	11174	11404
MYO18B-AS1	0	0	1	1	1	3
LOC102724801	0	0	0	0	0	0
LINC02559	0	0	0	0	0	0
LOC105372971	1	2	1	0	2	0
SEZ6L	50	57	230	74	106	26
SEZ6L-AS1	0	1	0	0	1	0
LOC124905096	0	6	10	0	3	0
ASPHD2	73	126	83	79	52	44
HPS4	701	754	688	883	617	790
SRRD	536	616	416	580	433	538
TFIP11	946	2395	865	914	779	943
TFIP11-DT	53	38	87	62	96	97
TPST2	1092	444	1229	3118	478	698
MIR548J	0	0	0	0	0	0
CRYBA4	0	1	1	1	0	0
CRYBB1	3	0	0	2	2	0
MIAT	100	38	178	102	2300	83
MIATNB	27	21	34	51	33	43
LOC110091768	4	4	22	26	6	16
LINC01422	6	2	3	3	0	0
LOC107985582	0	0	0	1	0	0
LOC284898	1	1	0	0	3	0
LOC107985534	50	0	10	21	0	1
